Day fraction since midnight on	t (s)	photometer (mg/L)	photometer (volts)
0.6513297287	536	2.706834316	2.503228426
0.651341295	537	2.691135645	2.509870529
0.6513528842	538	2.678452492	2.515245199
0.6513644509	539	2.673749685	2.517240048
0.6513760404	540	2.658706904	2.523627758
0.6513875837	541	2.644535065	2.529655457
0.6513991731	542	2.629159689	2.536205769
0.6514107396	543	2.630725384	2.535538197
0.651422329	544	2.606719971	2.545785666
0.6514338954	545	2.61037302	2.544224501
0.6514454849	546	2.605458498	2.546324968
0.6514570283	547	2.599881649	2.548709869
0.6514686176	548	2.5896523	2.553088188
0.6514801841	549	2.562343836	2.564800978
0.6514917505	550	2.569702148	2.561641455
0.6515033399	551	2.544166088	2.572617292
0.6515149063	552	2.551265001	2.569562912
0.6515264728	553	2.533676624	2.577134848
0.6515380622	554	2.520479679	2.582825899
0.6515496285	555	2.517431736	2.584141493
0.651561195	556	2.504637957	2.589668512
0.6515727844	557	2.484058142	2.598575592
0.6515843505	558	2.485108137	2.598120689
0.6515959169	559	2.479683876	2.600471497
0.6516075066	560	2.474844217	2.602570057
0.6516190962	561	2.462717295	2.607833624
0.6516306394	562	2.441452026	2.617080689
0.6516422289	563	2.450699329	2.613056898
0.6516537953	564	2.427581549	2.623123884
0.6516653617	565	2.430554867	2.621827602
0.6516769511	566	2.398964167	2.635621548
0.6516885175	567	2.40032053	2.635028362
0.651700084	568	2.387557745	2.640614033
0.6517116731	569	2.390281677	2.639421225
0.6517232398	570	2.383180857	2.642531395
0.651734829	571	2.34241128	2.660436153
0.6517463953	572	2.332252741	2.664910078
0.651757962	573	2.344782352	2.659392595
0.6517695281	574	2.344868422	2.659354687
0.6517811179	575	2.304943323	2.676962376
0.6517926843	576	2.309095144	2.675127745
0.6518042508	577	2.326923132	2.667259216
0.6518158398	578	2.30579567	2.676585674
0.6518274062	579	2.306945801	2.676077366
0.6518389957	580	2.294484139	2.681587935
0.6518505621	581	2.285141468	2.685724258
0.6518621288	582	2.248692989	2.70190239
0.6518737179	583	2.251802683	2.700519562
0.6518852844	584	2.228340864	2.710964441
0.6518968741	585	2.22086978	2.714296103
0.6519084405	586	2.224491835	2.712680578
0.6519200069	587	2.19725585	2.724844933
0.6519315732	588	2.19465065	2.726010323
0.6519431858	589	2.181318998	2.731979847
0.6519547291	590	2.19483614	2.725927353
0.6519662952	591	2.162935257	2.740225792
0.651977885	592	2.161628723	2.74081254
0.6519894514	593	2.160247803	2.741432667
0.6520010175	594	2.146982193	2.747395277
0.6520126072	595	2.13765645	2.751592159
0.6520241736	596	2.12989831	2.755086899
0.6520357397	597	2.107506275	2.765190601
0.6520473296	598	2.111606121	2.763338804
0.6520588959	599	2.119165659	2.759926558
0.6520704623	600	2.085846901	2.774987459
0.6520820517	601	2.080466032	2.777425051
0.6520936182	602	2.078818798	2.778171539
0.6521051846	603	2.07725811	2.778878927
0.652116774	604	2.064442396	2.784692287
0.6521283401	605	2.061798811	2.785892487
0.6521399299	606	2.044249773	2.79386878
0.6521514962	607	2.02045536	2.804708481
0.6521630626	608	2.034397364	2.798353672
0.652174629	609	2.042178392	2.794811249
0.6521862185	610	2.017613649	2.806005001
0.6521977849	611	2.017988205	2.805834055
0.6522093513	612	2.018585444	2.805561543
0.6522209408	613	2.003483057	2.8124578
0.6522325071	614	1.9785285	2.823878288
0.6522440735	615	1.982427597	2.822091818
0.652255663	616	1.975997925	2.825038195
0.6522672294	617	1.964660168	2.830238819
0.6522787958	618	1.959658742	2.832535029
0.6522903852	619	1.957523704	2.833515644
0.6523019513	620	1.940438867	2.841371059
0.652313518	621	1.939473748	2.841815233
0.6523251075	622	1.933592796	2.844522953
0.6523366739	623	1.931912661	2.84529686
0.6523482403	624	1.92569375	2.848162651
