Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6497354697	39.6917266846	-1.2463065386
0.6497470259	39.7155113220	-1.2464728355
0.6497586130	39.7498741150	-1.2467123270
0.6497701870	39.7450447083	-1.2466787100
0.6497817534	39.7979736328	-1.2470459938
0.6497933264	39.7959899902	-1.2470322847
0.6498048957	39.8311843872	-1.2472753525
0.6498164689	39.8504676819	-1.2474081516
0.6498280488	39.8932037354	-1.2477014065
0.6498396414	39.9354209900	-1.2479897738
0.6498512100	39.9242515564	-1.2479135990
0.6498627875	39.9520759583	-1.2481031418
0.6498743466	39.9632644653	-1.2481791973
0.6498859359	39.9929504395	-1.2483805418
0.6498975042	40.0068168640	-1.2484743595
0.6499090771	40.0787467957	-1.2489587069
0.6499206524	40.0909118652	-1.2490402460
0.6499322272	40.0809860229	-1.2489737272
0.6499437969	40.1223640442	-1.2492505312
0.6499553752	40.1058769226	-1.2491403818
0.6499669475	40.1533546448	-1.2494570017
0.6499785230	40.1724433899	-1.2495838404
0.6499900824	40.1910858154	-1.2497074604
0.6500016592	40.2194595337	-1.2498950958
0.6500132528	40.2573776245	-1.2501449585
0.6500248188	40.2318687439	-1.2499769926
0.6500364110	40.3003234863	-1.2504266500
0.6500479859	40.3050956726	-1.2504578829
0.6500595430	40.3518943787	-1.2507631779
0.6500711030	40.3794555664	-1.2509422302
0.6500826953	40.3976478577	-1.2510601282
0.6500942669	40.4135704041	-1.2511631250
0.6501058346	40.4426918030	-1.2513509989
0.6501174088	40.4659652710	-1.2515007257
0.6501289806	40.5040054321	-1.2517446280
0.6501405599	40.5262641907	-1.2518868446
0.6501521515	40.5408248901	-1.2519797087
0.6501636970	40.5475273132	-1.2520223856
0.6501752678	40.6104850769	-1.2524218559
0.6501868594	40.6160087585	-1.2524567842
0.6501984275	40.6294326782	-1.2525415421
0.6502100059	40.6377868652	-1.2525942326
0.6502215760	40.6647567749	-1.2527639866
0.6502331572	40.6943016052	-1.2529493570
0.6502447466	40.7368965149	-1.2532155514
0.6502563059	40.7336082458	-1.2531950474
0.6502678725	40.7525482178	-1.2533130646
0.6502794385	40.7755622864	-1.2534561157
0.6502910377	40.8175582886	-1.2537162304
0.6503025907	40.8230590820	-1.2537502050
0.6503141877	40.8499298096	-1.2539159060
0.6503257314	40.8254737854	-1.2537651062
0.6503373212	40.8830032349	-1.2541191578
0.6503488988	40.8898239136	-1.2541610003
0.6503604698	40.9334716797	-1.2544279099
0.6503720730	40.9427185059	-1.2544842958
0.6503836162	40.9491577148	-1.2545235157
0.6503951825	41.0076446533	-1.2548785210
0.6504067530	41.0092391968	-1.2548881769
0.6504183257	41.0502433777	-1.2551356554
0.6504299150	41.0645675659	-1.2552218437
0.6504414929	41.0850524902	-1.2553448677
0.6504530595	41.0833816528	-1.2553348541
0.6504646252	41.1152076721	-1.2555254698
0.6504761943	41.1293945313	-1.2556102276
0.6504877709	41.1314926147	-1.2556227446
0.6504993625	41.1758651733	-1.2558869123
0.6505109308	41.1582412720	-1.2557821274
0.6505224991	41.2028846741	-1.2560471296
0.6505340758	41.2158622742	-1.2561239004
0.6505456704	41.2177162170	-1.2561348677
0.6505572133	41.2364311218	-1.2562453747
0.6505688027	41.2587089539	-1.2563766241
0.6505803612	41.2617874146	-1.2563947439
0.6505919509	41.2865447998	-1.2565401793
0.6506035169	41.3028602600	-1.2566357851
0.6506150835	41.3239746094	-1.2567592859
0.6506266725	41.3672180176	-1.2570112944
0.6506382622	41.3615608215	-1.2569783926
0.6506498051	41.3673591614	-1.2570121288
0.6506613945	41.4319534302	-1.2573863268
0.6506729619	41.4114074707	-1.2572675943
0.6506845282	41.4398460388	-1.2574318647
0.6506961193	41.4601478577	-1.2575488091
0.6507076859	41.4864540100	-1.2576999664
0.6507192519	41.5152969360	-1.2578651905
0.6507308413	41.5310478210	-1.2579551935
0.6507424101	41.5197792053	-1.2578908205
0.6507539764	41.5539588928	-1.2580858469
0.6507655464	41.5716667175	-1.2581865788
0.6507771358	41.6178436279	-1.2584483624
0.6507887024	41.6041069031	-1.2583706379
0.6508002684	41.6276092529	-1.2585035563
0.6508118577	41.6700019836	-1.2587424517
0.6508234240	41.6634521484	-1.2587056160
0.6508349903	41.6857910156	-1.2588311434
0.6508465797	41.7155799866	-1.2589980364
0.6508581460	41.7451210022	-1.2591630220
0.6508697123	41.7684593201	-1.2592929602
0.6508813033	41.7413177490	-1.2591418028
0.6508928695	41.7970771790	-1.2594518661
0.6509044358	41.7779388428	-1.2593456507
0.6509160252	41.8315086365	-1.2596423626
0.6509276166	41.8511962891	-1.2597509623
0.6509391826	41.8595962524	-1.2597972155
0.6509507354	41.8665275574	-1.2598353624
0.6509623250	41.8745918274	-1.2598797083
0.6509738983	41.9157447815	-1.2601053715
0.6509854646	41.9362068176	-1.2602171898
0.6509970323	42.0198669434	-1.2606717348
0.6510086214	42.0128822327	-1.2606339455
0.6510201978	42.0290184021	-1.2607212067
0.6510317641	42.0373649597	-1.2607662678
0.6510433382	42.0512657166	-1.2608412504
0.6510549045	42.0658988953	-1.2609200478
0.6510664758	42.1083602905	-1.2611479759
0.6510780655	42.1005744934	-1.2611062527
0.6510896354	42.1421470642	-1.2613285780
0.6511012019	42.1648559570	-1.2614495754
0.6511127726	42.1625709534	-1.2614374161
